iter	Passed	Remaining
245	4084	12519
246	4100	12499
247	4116	12481
248	4131	12460
249	4146	12438
250	4160	12415
251	4175	12392
252	4189	12370
253	4204	12349
254	4219	12327
255	4235	12309
256	4251	12291
257	4268	12276
258	4286	12262
259	4303	12247
260	4319	12230
261	4335	12212
262	4351	12194
263	4366	12172
264	4381	12152
265	4396	12132
266	4411	12111
267	4426	12090
268	4442	12071
269	4457	12052
270	4474	12035
271	4490	12019
272	4507	12003
273	4523	11985
274	4539	11967
275	4555	11949
276	4571	11931
277	4586	11911
278	4601	11891
279	4616	11870
280	4630	11849
281	4645	11828
282	4660	11807
283	4676	11791
284	4692	11771
285	4707	11753
286	4722	11733
287	4738	11715
288	4754	11697
289	4770	11679
290	4786	11661
291	4801	11641
292	4816	11621
293	4831	11601
294	4845	11580
295	4860	11560
296	4876	11541
297	4892	11524
298	4907	11505
299	4924	11491
300	4942	11477
301	4959	11463
302	4977	11449
303	4994	11434
304	5009	11415
305	5024	11395
306	5039	11376
307	5055	11357
308	5069	11337
309	5084	11316
310	5100	11299
311	5116	11282
312	5133	11266
313	5150	11251
314	5174	11252
315	5191	11237
316	5206	11218
317	5222	11199
318	5237	11180
319	5252	11161
320	5266	11139
321	5280	11119
322	5295	11099
323	5311	11081
324	5326	11063
325	5343	11046
326	5360	11031
327	5377	11016
328	5393	11000
329	5409	10983
330	5425	10965
331	5440	10945
332	5455	10927
333	5470	10908
334	5485	10889
335	5500	10869
336	5515	10850
337	5530	10831
338	5546	10814
339	5561	10796
340	5578	10780
341	5594	10764
342	5612	10750
343	5629	10734
344	5647	10721
345	5662	10702
346	5677	10683
347	5691	10664
348	5706	10644
349	5721	10626
350	5736	10606
351	5752	10589
352	5768	10573
353	5785	10557
354	5800	10539
355	5816	10521
356	5832	10504
357	5847	10486
358	5862	10468
359	5877	10448
360	5892	10429
361	5907	10411
362	5922	10393
363	5937	10374
364	5952	10355
365	5968	10338
366	5983	10321
367	6000	10304
368	6016	10288
369	6032	10271
370	6048	10255
371	6064	10237
372	6080	10220
373	6094	10201
374	6109	10182
375	6124	10164
376	6139	10146
377	6155	10128
378	6171	10112
379	6187	10095
380	6203	10078
381	6219	10062
382	6236	10046
383	6251	10027
384	6266	10009
385	6282	9992
386	6296	9974
387	6312	9956
388	6326	9937
389	6342	9919
390	6357	9901
391	6372	9883
392	6387	9865
393	6403	9848
394	6418	9830
395	6434	9814
396	6450	9797
397	6466	9780
398	6481	9763
399	6496	9744
400	6511	9726
401	6526	9708
402	6541	9691
403	6557	9674
404	6572	9656
405	6588	9639
406	6605	9624
407	6621	9607
408	6637	9591
409	6653	9574
410	6670	9558
411	6686	9542
412	6701	9524
413	6716	9507
414	6731	9488
415	6746	9470
416	6761	9452
417	6775	9434
418	6790	9416
419	6805	9398
420	6820	9380
421	6836	9363
422	6852	9347
423	6869	9331
424	6885	9315
425	6901	9299
426	6917	9282
427	6932	9264
428	6947	9246
429	6961	9228
430	6976	9210
431	6991	9192
432	7005	9173
433	7021	9156
434	7044	9149
435	7058	9131
436	7075	9115
437	7091	9099
438	7107	9083
439	7125	9068
440	7141	9052
441	7156	9034
442	7171	9017
443	7187	9000
444	7202	8982
445	7218	8966
446	7234	8950
447	7254	8938
448	7270	8922
449	7285	8904
450	7301	8887
451	7316	8870
452	7332	8854
453	7347	8836
454	7362	8818
455	7387	8812
456	7401	8794
457	7416	8776
458	7433	8761
459	7451	8747
460	7467	8730
461	7482	8713
462	7497	8696
463	7513	8679
464	7529	8663
465	7545	8646
466	7560	8629
467	7575	8611
468	7591	8594
469	7605	8576
470	7620	8559
471	7636	8542
472	7651	8524
473	7666	8507
474	7682	8491
475	7699	8475
476	7721	8465
477	7735	8447
478	7751	8431
479	7768	8415
480	7784	8399
481	7799	8381
482	7814	8364
483	7829	8346
484	7844	8329
485	7860	8312
486	7874	8295
487	7891	8279
488	7906	8262
489	7922	8245
490	7938	8229
491	7954	8213
492	7970	8196
493	7985	8179
494	8000	8162
495	8015	8145
496	8030	8127
497	8045	8109
498	8060	8092
499	8075	8075
500	8089	8057
501	8106	8041
502	8123	8026
503	8140	8011
504	8156	7995
505	8173	7979
506	8190	7964
507	8204	7946
508	8219	7928
509	8234	7911
510	8249	7894
511	8264	7877
512	8279	7859
513	8293	7841
514	8309	7825
515	8325	7809
516	8342	7793
517	8358	7777
518	8375	7762
519	8391	7746
520	8408	7730
521	8424	7714
522	8439	7697
523	8454	7680
524	8469	7663
525	8484	7646
526	8499	7628
527	8514	7611
528	8530	7595
529	8547	7579
530	8564	7564
531	8580	7547
532	8595	7531
533	8612	7515
534	8627	7498
535	8642	7481
536	8657	7464
537	8672	7447
538	8687	7430
539	8702	7413
540	8718	7397
541	8734	7380
542	8750	7364
543	8767	7349
544	8784	7334
545	8801	7318
546	8815	7300
547	8831	7283
548	8846	7266
549	8861	7249
550	8875	7232
551	8889	7214
552	8906	7199
553	8922	7182
554	8938	7167
555	8954	7150
556	8970	7134
557	8986	7118
558	9002	7102
559	9018	7085
560	9033	7069
561	9048	7051
562	9063	7035
563	9078	7018
564	9093	7001
565	9108	6984
566	9124	6967
567	9139	6951
568	9155	6935
569	9172	6919
570	9188	6903
571	9204	6887
572	9220	6871
573	9235	6854
574	9250	6837
575	9265	6820
576	9280	6803
577	9295	6786
578	9310	6769
579	9325	6752
580	9340	6735
581	9355	6719
582	9371	6703
583	9387	6687
584	9403	6671
585	9419	6654
586	9435	6638
587	9450	6622
588	9465	6604
589	9479	6587
590	9494	6570
591	9509	6554
592	9524	6537
593	9539	6519
594	9554	6503
595	9570	6487
596	9585	6470
597	9601	6454
598	9617	6438
599	9637	6425
600	9654	6409
601	9670	6393
602	9686	6377
603	9702	6361
604	9716	6343
605	9731	6326
606	9745	6309
607	9761	6293
608	9776	6276
609	9793	6261
610	9810	6245
611	9829	6231
612	9846	6216
613	9873	6207
614	9888	6190
615	9904	6174
616	9919	6157
617	9934	6140
618	9948	6123
619	9963	6106
620	9977	6089
621	9992	6072
622	10009	6056
623	10025	6041
624	10041	6025
625	10057	6009
626	10073	5992
627	10090	5977
628	10105	5960
629	10121	5944
630	10136	5927
631	10151	5911
632	10166	5894
633	10181	5877
634	10197	5861
635	10212	5845
636	10228	5828
637	10244	5812
638	10260	5796
639	10276	5780
640	10293	5764
641	10309	5748
642	10325	5732
643	10340	5716
644	10354	5699
645	10369	5682
646	10384	5665
647	10399	5649
648	10415	5632
649	10431	5617
650	10448	5601
651	10464	5585
652	10481	5569
653	10498	5554
654	10515	5538
655	10530	5522
656	10545	5505
657	10560	5489
658	10576	5472
659	10590	5455
660	10620	5447
661	10635	5430
662	10652	5414
663	10668	5398
664	10684	5382
665	10701	5366
666	10716	5350
667	10733	5334
668	10748	5318
669	10763	5301
670	10777	5284
671	10792	5267
672	10806	5250
673	10821	5234
674	10836	5217
675	10852	5201
676	10867	5184
677	10883	5168
678	10898	5152
679	10914	5136
680	10930	5120
681	10946	5104
682	10961	5087
683	10976	5070
684	10990	5054
685	11005	5037
686	11020	5021
687	11036	5004
688	11052	4988
689	11068	4972
690	11085	4957
691	11112	4945
692	11128	4929
693	11144	4913
694	11159	4897
695	11174	4880
696	11189	4864
697	11203	4847
698	11218	4830
699	11233	4814
700	11249	4798
701	11264	4781
702	11280	4765
703	11297	4750
704	11315	4734
705	11331	4718
706	11347	4702
707	11362	4686
708	11377	4669
709	11392	4653
710	11408	4637
711	11423	4620
712	11439	4604
713	11455	4588
714	11471	4572
715	11488	4556
716	11505	4541
717	11520	4524
718	11535	4508
719	11551	4492
720	11567	4476
721	11582	4459
722	11597	4443
723	11611	4426
724	11626	4410
725	11641	4393
726	11656	4377
727	11671	4360
728	11687	4344
729	11704	4329
730	11720	4313
731	11736	4297
732	11753	4281
733	11770	4265
734	11787	4249
735	11801	4233
736	11816	4216
737	11831	4200
738	11846	4183
739	11861	4167
740	11877	4151
741	11893	4135
742	11911	4120
743	11927	4104
744	11943	4088
745	11958	4071
746	11974	4055
747	11989	4039
748	12003	4022
749	12018	4006
750	12033	3989
751	12049	3973
752	12064	3957
753	12079	3941
754	12096	3925
755	12112	3909
756	12129	3893
757	12146	3877
758	12162	3861
759	12178	3845
760	12193	3829
761	12209	3813
762	12223	3796
763	12238	3780
764	12254	3764
765	12268	3747
766	12283	3731
767	12299	3715
768	12315	3699
769	12331	3683
770	12347	3667
771	12363	3651
772	12380	3635
773	12396	3619
774	12411	3603
775	12425	3586
776	12440	3570
777	12455	3554
778	12469	3537
779	12485	3521
780	12500	3505
781	12519	3490
782	12535	3474
783	12551	3458
784	12568	3442
785	12583	3426
786	12600	3410
787	12615	3393
788	12630	3377
789	12645	3361
790	12660	3345
791	12675	3328
792	12690	3312
793	12704	3296
794	12720	3280
795	12736	3264
796	12753	3248
797	12769	3232
798	12786	3216
799	12801	3200
800	12817	3184
801	12832	3168
802	12847	3151
803	12862	3135
804	12877	3119
805	12892	3103
806	12907	3086
807	12923	3070
808	12938	3054
809	12954	3038
810	12970	3022
811	12985	3006
812	13001	2990
813	13017	2974
814	13033	2958
815	13049	2942
816	13066	2926
817	13081	2910
818	13096	2894
819	13111	2878
820	13127	2862
821	13143	2846
822	13159	2830
823	13175	2814
824	13191	2798
825	13207	2782
826	13222	2766
827	13237	2749
828	13251	2733
829	13267	2717
830	13281	2701
831	13296	2684
832	13311	2668
833	13326	2652
834	13342	2636
835	13358	2620
836	13374	2604
837	13390	2588
838	13406	2572
839	13422	2556
840	13438	2540
841	13453	2524
842	13468	2508
843	13483	2492
844	13497	2475
845	13512	2459
846	13527	2443
847	13542	2427
848	13558	2411
849	13575	2395
850	13591	2379
851	13606	2363
852	13622	2347
853	13638	2331
854	13654	2315
855	13669	2299
856	13684	2283
857	13699	2267
858	13714	2251
859	13728	2234
860	13743	2218
861	13759	2202
862	13775	2186
863	13791	2170
864	13807	2154
865	13822	2138
866	13838	2122
867	13854	2106
868	13869	2090
869	13884	2074
870	13900	2058
871	13915	2042
872	13929	2026
873	13943	2010
874	13958	1994
875	13973	1978
876	13989	1962
877	14006	1946
878	14022	1930
879	14039	1914
880	14055	1898
881	14071	1882
882	14087	1866
883	14101	1850
884	14116	1834
885	14131	1818
886	14145	1802
887	14160	1785
888	14174	1769
889	14190	1753
890	14207	1738
891	14223	1722
892	14240	1706
893	14263	1691
894	14280	1675
895	14295	1659
896	14310	1643
897	14324	1627
898	14338	1610
899	14353	1594
900	14368	1578
901	14383	1562
902	14400	1546
903	14416	1530
904	14434	1515
905	14449	1499
906	14466	1483
907	14483	1467
908	14498	1451
909	14514	1435
910	14528	1419
911	14543	1403
912	14558	1387
913	14573	1371
914	14589	1355
915	14606	1339
916	14622	1323
917	14640	1307
918	14656	1291
919	14673	1275
920	14691	1260
921	14706	1244
922	14721	1228
923	14735	1212
924	14750	1196
925	14765	1179
926	14780	1163
927	14795	1147
928	14811	1131
929	14828	1116
930	14844	1100
931	14860	1084
932	14876	1068
933	14891	1052
934	14906	1036
935	14921	1020
936	14936	1004
937	14951	988
938	14966	972
939	14981	956
940	14996	940
941	15012	924
942	15028	908
943	15046	892
944	15062	876
945	15078	860
946	15094	844
947	15110	828
948	15126	812
949	15141	796
950	15156	780
951	15171	764
952	15186	748
953	15201	732
954	15216	716
955	15231	701
956	15246	685
957	15262	669
958	15278	653
959	15294	637
960	15309	621
961	15325	605
962	15340	589
963	15355	573
964	15369	557
965	15384	541
966	15399	525
967	15414	509
968	15429	493
969	15444	477
970	15461	461
971	15477	445
972	15494	429
973	15510	414
974	15526	398
975	15542	382
976	15558	366
977	15573	350
978	15588	334
979	15603	318
980	15618	302
981	15633	286
982	15648	270
983	15663	254
984	15680	238
985	15696	222
986	15712	206
987	15728	191
988	15744	175
989	15759	159
990	15774	143
991	15789	127
992	15804	111
993	15819	95
994	15834	79
995	15848	63
996	15864	47
997	15887	31
998	15903	15
999	15920	0
